0.0985,-0.0013,-9.8335,0.0015,-0.0001,-0.0016,-0.079727,-0.014188,-0.117484,0,753
0.1087,0.0087,-9.8011,-0.0013,-0.0069,-0.0005,-0.079727,-0.014188,-0.117484,54677,753
0.1211,-0.0202,-9.8225,0.0007,-0.0012,-0.0015,-0.079484,-0.014671,-0.119097,64735,754
0.1301,-0.0088,-9.8329,0.0003,0.0015,-0.0031,-0.079484,-0.014671,-0.119097,75235,754
0.145,-0.0077,-9.8329,-0.0009,-0.0022,0.0003,-0.079484,-0.014671,-0.119097,85735,754
0.1057,-0.028,-9.8248,0.0013,0.0033,0.0019,-0.079484,-0.014671,-0.119097,96235,754
0.1413,0.0261,-9.8238,-0.0007,-0.0027,-0.0011,-0.079484,-0.014671,-0.119097,106735,754
0.1121,-0.0111,-9.8227,0.0031,0.0056,-0.0011,-0.079484,-0.014671,-0.119097,117235,754
0.1246,-0.0083,-9.8348,0.0024,0.0006,-0.001,-0.079484,-0.014671,-0.119097,127735,754
0.1137,-0.0365,-9.8255,0,0.0006,0.0005,-0.079484,-0.014671,-0.119097,138235,754
0.1188,-0.0022,-9.8331,-0.0014,0.0012,0.0024,-0.079484,-0.014671,-0.119097,148735,754
0.1211,0.002,-9.8338,0.001,-0.0012,-0.0006,-0.079484,-0.014671,-0.119097,159235,754
0.1415,0.002,-9.8177,0.0019,0.0026,0.0002,-0.079484,-0.014671,-0.119097,169735,754
0.1519,-0.0332,-9.8403,0.0014,0.0006,-0.0007,-0.079484,-0.014671,-0.119097,180235,754
0.1167,-0.0094,-9.8339,0.001,0.001,0.0032,-0.079484,-0.014671,-0.119097,190735,754
0.1195,-0.0315,-9.8107,0.0003,-0.0008,-0.0005,-0.079484,-0.014671,-0.119097,201235,754
0.1049,-0.0028,-9.8113,0.0001,0.0004,0.0011,-0.079484,-0.014671,-0.119097,211735,754
0.1434,-0.0135,-9.8201,0.0002,-0.0003,-0.0001,-0.079484,-0.014671,-0.119097,222235,754
0.1165,-0.018,-9.8155,0.0007,-0.0032,-0.0015,-0.079484,-0.014671,-0.119097,232735,754
0.1193,0.0193,-9.8183,-0.0017,-0.0026,0.0006,-0.079484,-0.014671,-0.119097,243235,754
0.12,-0.0105,-9.8364,0.001,0.0057,0.0002,-0.079484,-0.014671,-0.119097,253735,754
0.1396,-0.0004,-9.8301,0.0018,-0.0003,-0.0004,-0.079484,-0.014671,-0.119097,264235,754
0.1137,-0.0135,-9.8405,0.0004,0.0066,0.0011,-0.079484,-0.014671,-0.119097,274735,754
0.1234,-0.0057,-9.8482,0.0004,0.0016,-0.0025,-0.079484,-0.014671,-0.119097,285235,754
0.156,0.0141,-9.8373,0.0003,-0.0019,-0.0001,-0.079484,-0.014671,-0.119097,295735,754
0.1039,0.0022,-9.8298,0.0004,-0.0009,-0.0008,-0.079484,-0.014671,-0.119097,306235,754
0.1474,0.0048,-9.8099,0.0012,-0.0004,0.0015,-0.079484,-0.014671,-0.119097,316735,754
0.138,0.0063,-9.8449,-0.0013,-0.0032,-0.0006,-0.079484,-0.014671,-0.119097,327235,754
