euler_madgwick0,euler_madgwick1,euler_madgwick2,euler_ekf0,euler_ekf1,euler_ekf2,euler_setpoint0,euler_setpoint1,euler_setpoint2,thrust_setpoint,Acc1,Acc2,Acc3,Gyro1,Gyro2,Gyro3,AccBMI1,AccBMI2,AccBMI3,GyroBMI1,GyroBMI2,GyroBMI3,Acc1Raw,Acc2Raw,Acc3Raw,Gyro1Raw,Gyro2Raw,Gyro3Raw,AccBMI1Raw,AccBMI2Raw,AccBMI3Raw,GyroBMI1Raw,GyroBMI2Raw,GyroBMI3Raw,u0,u1,u2,u3,w0,w1,w2,w3,positionNED_0,positionNED_1,positionNED_2,velocityNED_0,velocityNED_1,velocityNED_2,positionSetpointNED_0,positionSetpointNED_1,positionSetpointNED_2,velocitySetpointNED_0,velocitySetpointNED_1,velocitySetpointNED_2,mocapPositionNED_0,mocapPositionNED_1,mocapPositionNED_2,pScale_att,iScale_att,dScale_att,Kp_array,Ki_array,Kd_array,Kp_pos,Ki_pos,Kd_pos,Kp2_array,Ki2_array,Kd2_array,timeSinceBoot,mocapTime,quadTime,numMocapUpdates,throttle,roll,pitch,yaw,throttle_cut,boundary_sw,xSel,ySel,zSel,Kp_scale,Ki_scale,Kd_scale,scale_all,reset,position_toggle
-0.0038,-0.0066,0.0154,-0.0041,-0.0056,-3.0712,0.0063,-0.0042,3.1416,0.0000,-0.0725,0.0421,-9.8262,-0.0004,0.0038,0.0025,-0.1125,0.0479,-9.8148,0.0044,-0.0000,-0.0017,-0.0952,-0.0230,-9.8303,-0.0012,0.0033,0.0024,-0.1133,0.0146,-9.7905,-0.0040,-0.0152,0.0061,0.0000,0.0174,0.0011,-0.0115,0.0000,0.0000,0.0000,0.0000,-1.390670,0.542151,-0.075692,0.004510,0.000446,0.001792,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391254,0.542152,-0.076363,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11156031,17997850,11154272,58,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
-0.0028,-0.0085,0.0155,-0.0041,-0.0058,-3.0708,0.0063,-0.0042,3.1416,0.0000,-0.0681,0.0155,-9.7620,-0.0004,0.0037,-0.0005,-0.0320,0.0031,-9.8208,0.0043,-0.0059,-0.0042,-0.1383,-0.0852,-9.9907,0.0041,0.0081,-0.0176,-0.3575,-0.4272,-10.2412,0.0053,-0.0149,-0.0138,0.0000,0.0175,0.0006,-0.0115,152.0317,0.0000,110.0366,0.0000,-1.390951,0.542204,-0.075878,0.003596,0.000889,0.000265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391296,0.542222,-0.076163,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11201758,18130852,11201454,59,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
-0.0026,-0.0079,0.0154,-0.0041,-0.0058,-3.0710,0.0063,-0.0042,3.1416,0.0000,-0.0075,0.0665,-9.7651,-0.0002,0.0034,-0.0159,-0.0343,0.0775,-9.8049,0.0024,-0.0025,-0.0200,0.0484,0.2644,-10.3163,0.0031,0.0105,0.0027,-0.6538,-0.2404,-10.0473,0.0059,0.0008,-0.0043,0.0000,0.0176,0.0016,-0.0098,145.8752,0.0000,92.9491,0.0000,-1.390919,0.542214,-0.075875,0.003465,0.001104,0.000386,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391296,0.542222,-0.076163,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11212202,18130852,11210443,59,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
-0.0034,-0.0078,0.0154,-0.0041,-0.0058,-3.0710,0.0063,-0.0042,3.1416,0.0000,-0.0606,0.0991,-9.7923,-0.0005,0.0046,0.0126,-0.0555,0.0980,-9.8530,-0.0011,-0.0097,0.0052,-0.2460,-0.0158,-9.6411,-0.0012,0.0012,0.0173,-0.3198,-0.0950,-10.0599,-0.0069,0.0024,0.0128,0.0000,0.0174,0.0010,-0.0126,157.3537,0.0000,117.1095,0.0000,-1.390877,0.542225,-0.075870,0.003558,0.000715,0.000489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391296,0.542222,-0.076163,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11222702,18130852,11222443,59,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
-0.0037,-0.0076,0.0156,-0.0041,-0.0057,-3.0708,0.0063,-0.0042,3.1416,0.0000,-0.0289,-0.0254,-9.7515,-0.0005,0.0048,0.0164,-0.0718,-0.0596,-9.7659,0.0028,-0.0001,0.0117,-0.1335,0.3553,-10.5222,0.0028,0.0049,0.0043,-0.5568,0.2786,-10.5322,-0.0024,-0.0176,0.0133,0.0000,0.0174,0.0009,-0.0131,159.1556,0.0000,121.2272,0.0000,-1.390845,0.542230,-0.075866,0.003656,0.000619,0.000439,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391296,0.542222,-0.076163,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11233202,18130852,11231443,59,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
-0.0034,-0.0073,0.0156,-0.0041,-0.0057,-3.0708,0.0063,-0.0042,3.1416,0.0000,-0.0715,0.0337,-9.7903,0.0017,0.0037,-0.0093,-0.0758,-0.0022,-9.8332,0.0039,0.0003,-0.0121,-0.1407,-0.0924,-10.0266,0.0009,0.0105,-0.0128,-0.2605,-0.2584,-9.7420,-0.0008,-0.0200,-0.0312,0.0000,0.0170,0.0013,-0.0106,148.3150,0.0000,102.3585,0.0000,-1.390801,0.542240,-0.075861,0.003666,0.000984,0.000441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391296,0.542222,-0.076163,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11243702,18130852,11243443,59,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
-0.0035,-0.0071,0.0155,-0.0041,-0.0057,-3.0709,0.0063,-0.0042,3.1416,0.0000,-0.0354,0.0736,-9.7882,-0.0009,0.0045,-0.0035,-0.0947,0.1068,-9.8255,0.0037,-0.0031,-0.0101,0.0221,0.1231,-9.7776,-0.0028,0.0063,0.0109,-0.0181,0.6341,-9.8408,-0.0021,0.0165,-0.0045,0.0000,0.0174,0.0013,-0.0106,148.9089,0.0000,101.4111,0.0000,-1.390767,0.542249,-0.075857,0.003767,0.001005,0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391296,0.542222,-0.076163,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11254202,18130852,11252443,59,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
-0.0041,-0.0065,0.0156,-0.0041,-0.0057,-3.0707,0.0063,-0.0042,3.1416,0.0000,-0.0283,0.0745,-9.7533,-0.0006,0.0040,0.0159,-0.0954,0.0157,-9.8501,0.0017,-0.0027,0.0134,-0.3825,-0.2360,-9.8446,0.0055,0.0097,0.0123,-0.0020,0.3181,-10.2017,0.0189,0.0061,-0.0208,0.0000,0.0177,0.0007,-0.0128,158.3382,0.0000,119.3093,0.0000,-1.390725,0.542257,-0.075850,0.003409,0.000385,0.000772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391296,0.542222,-0.076163,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11264702,18130852,11264443,59,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
-0.0037,-0.0070,0.0157,-0.0041,-0.0057,-3.0706,0.0063,-0.0042,3.1416,0.0000,-0.0927,-0.0187,-9.8040,0.0009,0.0036,0.0020,-0.0713,-0.0438,-9.8474,0.0039,0.0028,-0.0012,-0.1383,0.1662,-9.7513,-0.0052,0.0025,-0.0045,-0.1564,0.0738,-9.6433,0.0043,0.0181,-0.0109,0.0000,0.0173,0.0009,-0.0120,154.5607,0.0000,113.4876,0.0000,-1.390692,0.542262,-0.075844,0.003731,0.000652,0.000642,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391296,0.542222,-0.076163,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11275202,18130852,11273443,59,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
-0.0032,-0.0072,0.0156,-0.0041,-0.0056,-3.0707,0.0063,-0.0042,3.1416,0.0000,-0.0749,0.0505,-9.8342,0.0005,0.0043,-0.0077,-0.0783,0.0575,-9.8296,0.0027,-0.0054,-0.0142,0.0293,-0.0206,-9.5813,-0.0007,0.0001,-0.0051,0.2387,-0.2117,-9.6774,-0.0061,0.0083,-0.0128,0.0000,0.0171,0.0012,-0.0106,148.3046,0.0000,102.4237,0.0000,-1.390646,0.542273,-0.075836,0.003948,0.000984,0.000544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.391296,0.542222,-0.076163,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,11285702,18130852,11285443,59,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1256,1000,1000
