euler_madgwick0,euler_madgwick1,euler_madgwick2,euler_ekf0,euler_ekf1,euler_ekf2,euler_setpoint0,euler_setpoint1,euler_setpoint2,thrust_setpoint,Acc1,Acc2,Acc3,Gyro1,Gyro2,Gyro3,AccBMI1,AccBMI2,AccBMI3,GyroBMI1,GyroBMI2,GyroBMI3,Acc1Raw,Acc2Raw,Acc3Raw,Gyro1Raw,Gyro2Raw,Gyro3Raw,AccBMI1Raw,AccBMI2Raw,AccBMI3Raw,GyroBMI1Raw,GyroBMI2Raw,GyroBMI3Raw,u0,u1,u2,u3,w0,w1,w2,w3,positionNED_0,positionNED_1,positionNED_2,velocityNED_0,velocityNED_1,velocityNED_2,positionSetpointNED_0,positionSetpointNED_1,positionSetpointNED_2,velocitySetpointNED_0,velocitySetpointNED_1,velocitySetpointNED_2,mocapPositionNED_0,mocapPositionNED_1,mocapPositionNED_2,pScale_att,iScale_att,dScale_att,Kp_array,Ki_array,Kd_array,Kp_pos,Ki_pos,Kd_pos,Kp2_array,Ki2_array,Kd2_array,timeSinceBoot,mocapTime,quadTime,numMocapUpdates,throttle,roll,pitch,yaw,throttle_cut,boundary_sw,xSel,ySel,zSel,Kp_scale,Ki_scale,Kd_scale,scale_all,reset,position_toggle
0.0567,-0.0248,0.1208,1.4339,-0.7317,2.9378,-0.0126,-0.0042,3.1416,0.0000,-0.2545,-0.5608,-9.9027,0.0320,-0.0158,0.0073,-0.3099,-0.0753,-9.8830,0.0033,0.0036,0.0005,-0.1837,-0.5335,-9.8866,0.0331,-0.0175,0.0088,-0.3609,-0.1365,-9.8890,-0.0099,0.0040,-0.0019,0.0000,-0.1254,0.0393,-0.0030,0.0000,0.0000,0.0000,0.0000,-339.345551,-831.917725,547.693237,-46.722084,-120.834099,86.002785,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18843149,0,18841390,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0560,-0.0269,0.1211,1.4358,-0.7321,2.9369,-0.0126,-0.0042,3.1416,0.0000,-0.2865,-0.5894,-9.9324,0.0307,-0.0126,0.0042,-0.3719,-0.1640,-9.8794,0.0040,0.0019,-0.0047,0.2688,-0.6628,-9.6975,0.0403,-0.0311,-0.0357,1.1277,-1.1493,-8.5171,-0.0059,0.0176,-0.0421,0.0000,-0.1244,0.0431,-0.0031,0.0000,260.3277,178.1641,0.0000,-341.357544,-837.122559,551.399231,-46.852272,-121.234856,86.356743,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18885652,0,18884393,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0564,-0.0270,0.1211,1.4362,-0.7320,2.9367,-0.0126,-0.0042,3.1416,0.0000,-0.1539,-0.3751,-9.9010,0.0330,-0.0169,0.0234,-0.1433,0.0535,-9.9372,0.0052,-0.0041,0.0071,-0.0951,0.1393,-11.2705,0.0046,-0.0105,0.0717,0.0180,0.6518,-11.2609,-0.0157,-0.0128,0.0602,0.0000,-0.1242,0.0426,-0.0006,0.0000,266.1990,166.5607,0.0000,-341.776276,-838.206177,552.171143,-46.879158,-121.318558,86.430611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18896087,0,18893328,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0564,-0.0268,0.1216,1.4367,-0.7327,2.9366,-0.0126,-0.0042,3.1416,0.0000,-0.2863,-0.6191,-9.8380,0.0292,-0.0174,0.0437,-0.3179,-0.1202,-9.8999,0.0037,-0.0034,0.0384,0.1778,0.1440,-11.5266,0.0253,0.0108,0.0101,0.7704,0.7883,-10.8479,-0.0237,0.0112,0.0029,0.0000,-0.1231,0.0434,-0.0087,0.0000,244.1704,201.5687,0.0000,-342.340698,-839.666931,553.211914,-46.915539,-121.430748,86.530701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18906122,0,18905363,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0571,-0.0273,0.1216,1.4371,-0.7327,2.9364,-0.0126,-0.0042,3.1416,0.0000,-0.3523,-0.7590,-9.9516,0.0287,-0.0106,-0.0258,-0.3752,-0.2076,-9.8957,-0.0011,0.0026,-0.0365,-0.4159,-0.2893,-9.9632,0.0568,-0.0231,-0.0189,1.6359,0.4992,-8.5386,0.0125,0.0024,-0.0258,0.0000,-0.1254,0.0420,0.0004,0.0000,268.9601,164.1615,0.0000,-342.763062,-840.760193,553.991028,-46.942890,-121.514458,86.603836,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18916622,0,18914363,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0572,-0.0271,0.1214,1.4376,-0.7325,2.9361,-0.0126,-0.0042,3.1416,0.0000,-0.2573,-0.4150,-9.9889,0.0317,-0.0165,0.0027,-0.4837,0.1483,-9.9453,0.0017,0.0006,-0.0148,1.1499,-1.1225,-8.1963,0.0608,-0.0007,0.0378,-0.0844,-1.0451,-7.8347,0.0197,0.0277,0.0389,0.0000,-0.1266,0.0440,-0.0022,0.0000,265.3982,174.8445,0.0000,-343.326599,-842.218994,555.030884,-46.979153,-121.626488,86.703377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18927122,0,18926363,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0573,-0.0270,0.1217,1.4380,-0.7328,2.9360,-0.0126,-0.0042,3.1416,0.0000,-0.3233,-0.4503,-9.9395,0.0285,-0.0138,0.0334,-0.3647,0.0087,-9.9037,0.0018,0.0038,0.0251,0.2449,-1.5989,-8.0622,0.0613,-0.0201,0.0211,1.8424,-1.6790,-9.7813,0.0344,0.0069,0.0077,0.0000,-0.1250,0.0425,-0.0056,0.0000,253.5554,191.0849,0.0000,-343.749512,-843.314026,555.811523,-47.006557,-121.710289,86.777946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18937622,0,18935363,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0578,-0.0272,0.1219,1.4385,-0.7331,2.9358,-0.0126,-0.0042,3.1416,0.0000,-0.2964,-0.6200,-9.8795,0.0309,-0.0195,0.0081,-0.3040,-0.1365,-9.8350,0.0029,-0.0043,-0.0001,0.0725,-1.3475,-10.5283,0.0213,-0.0049,-0.0104,-0.4813,0.4274,-10.6486,-0.0008,0.0064,-0.0152,0.0000,-0.1260,0.0439,-0.0036,0.0000,261.1562,181.0180,0.0000,-344.313812,-844.775208,556.853455,-47.042797,-121.821762,86.876587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18948122,0,18947363,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0579,-0.0272,0.1219,1.4389,-0.7331,2.9356,-0.0126,-0.0042,3.1416,0.0000,-0.2351,-0.5385,-9.8682,0.0342,-0.0159,-0.0044,-0.3782,-0.0611,-9.9309,0.0009,-0.0025,-0.0127,-0.1861,-0.9693,-10.8970,0.0088,-0.0060,-0.0027,0.1939,0.8961,-10.3613,-0.0061,0.0123,-0.0208,0.0000,-0.1280,0.0439,-0.0017,0.0000,267.5073,174.2950,0.0000,-344.737335,-845.872009,557.635681,-47.070038,-121.906029,86.951035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18958622,0,18956363,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0579,-0.0267,0.1219,1.4395,-0.7331,2.9353,-0.0126,-0.0042,3.1416,0.0000,-0.2241,-0.5558,-9.8653,0.0309,-0.0184,0.0063,-0.3689,-0.0611,-9.8151,0.0017,-0.0001,-0.0075,-0.4734,-0.2462,-9.9297,0.0160,-0.0201,0.0088,-0.3286,0.4453,-9.7400,-0.0101,-0.0101,0.0040,0.0000,-0.1276,0.0436,-0.0026,0.0000,264.6750,178.4724,0.0000,-345.302399,-847.335510,558.679688,-47.106567,-122.017555,87.050636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18969122,0,18968363,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
0.0578,-0.0270,0.1220,1.4399,-0.7332,2.9351,-0.0126,-0.0042,3.1416,0.0000,-0.2943,-0.5539,-9.8741,0.0315,-0.0154,0.0111,-0.4530,-0.0797,-9.9288,0.0017,0.0018,-0.0000,-0.7726,-0.5311,-9.5538,0.0235,-0.0095,0.0179,0.4004,-0.2424,-10.0524,-0.0037,-0.0003,0.0141,0.0000,-0.1275,0.0434,-0.0032,0.0000,262.6749,181.8669,0.0000,-345.726471,-848.434082,559.463501,-47.133575,-122.101280,87.124931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,18979622,0,18977363,0,1000,1488,1504,1504,1000,1000,1505,1505,1505,1096,2008,1625,1035,1000,1000
