euler_madgwick0,euler_madgwick1,euler_madgwick2,euler_ekf0,euler_ekf1,euler_ekf2,euler_setpoint0,euler_setpoint1,euler_setpoint2,thrust_setpoint,Acc1,Acc2,Acc3,Gyro1,Gyro2,Gyro3,AccBMI1,AccBMI2,AccBMI3,GyroBMI1,GyroBMI2,GyroBMI3,Acc1Raw,Acc2Raw,Acc3Raw,Gyro1Raw,Gyro2Raw,Gyro3Raw,AccBMI1Raw,AccBMI2Raw,AccBMI3Raw,GyroBMI1Raw,GyroBMI2Raw,GyroBMI3Raw,u0,u1,u2,u3,w0,w1,w2,w3,positionNED_0,positionNED_1,positionNED_2,velocityNED_0,velocityNED_1,velocityNED_2,positionSetpointNED_0,positionSetpointNED_1,positionSetpointNED_2,velocitySetpointNED_0,velocitySetpointNED_1,velocitySetpointNED_2,mocapPositionNED_0,mocapPositionNED_1,mocapPositionNED_2,pScale_att,iScale_att,dScale_att,Kp_array,Ki_array,Kd_array,Kp_pos,Ki_pos,Kd_pos,Kp2_array,Ki2_array,Kd2_array,timeSinceBoot,mocapTime,quadTime,numMocapUpdates,throttle,roll,pitch,yaw,throttle_cut,boundary_sw,xSel,ySel,zSel,Kp_scale,Ki_scale,Kd_scale,scale_all,reset,position_toggle
-0.0563,0.1158,-0.0007,-0.0075,0.0102,-3.0665,0.0052,-0.0042,3.1416,0.0000,0.0862,0.0491,-9.6975,-0.0033,0.0035,0.0001,0.0762,0.0198,-9.8161,0.0021,0.0019,-0.0026,0.0867,0.0489,-9.6818,-0.0055,0.0057,0.0013,0.0609,0.0774,-9.8139,0.0053,-0.0091,-0.0072,0.0000,0.0223,-0.0251,-0.0082,0.0000,0.0000,0.0000,0.0000,-0.879682,0.732223,-0.087951,0.005714,0.006316,0.013059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880483,0.731598,-0.090862,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7322016,921344513,7320257,26,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
-0.0549,0.1127,-0.0005,-0.0074,0.0099,-3.0705,0.0052,-0.0042,3.1416,0.0000,0.0674,0.0379,-9.6514,-0.0030,0.0045,0.0011,0.0270,0.0358,-9.8041,-0.0004,-0.0065,-0.0020,-0.0306,-0.0660,-9.9237,0.0020,0.0081,-0.0008,0.0447,0.1080,-10.0024,-0.0005,-0.0189,-0.0170,0.0000,0.0221,-0.0250,-0.0080,80.6240,0.0000,133.6397,92.3788,-0.879884,0.732008,-0.089139,0.004631,0.005615,0.009807,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880276,0.731570,-0.091512,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7367229,921477594,7366470,27,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
-0.0546,0.1120,-0.0005,-0.0074,0.0100,-3.0705,0.0052,-0.0042,3.1416,0.0000,0.1087,0.0635,-9.6951,-0.0020,0.0055,-0.0028,0.0687,0.0198,-9.8163,0.0017,-0.0041,-0.0070,-0.2532,-0.0756,-9.9093,-0.0007,0.0063,-0.0037,-0.0594,-0.0914,-9.9324,0.0128,0.0173,0.0133,0.0000,0.0219,-0.0254,-0.0075,74.8442,0.0000,131.8718,96.9415,-0.879842,0.732059,-0.089051,0.004918,0.005862,0.010214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880276,0.731570,-0.091512,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7377454,921477594,7375195,27,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
-0.0542,0.1113,-0.0005,-0.0074,0.0100,-3.0705,0.0052,-0.0042,3.1416,0.0000,0.0838,0.0317,-9.7004,-0.0022,0.0066,-0.0073,0.0444,0.0021,-9.8448,0.0023,0.0023,-0.0131,0.1514,0.0393,-9.8782,-0.0049,-0.0007,-0.0144,-0.2444,0.0415,-10.1443,0.0099,0.0037,-0.0115,0.0000,0.0220,-0.0257,-0.0074,73.4053,0.0000,131.8951,98.5893,-0.879783,0.732131,-0.088928,0.005011,0.006173,0.010307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880276,0.731570,-0.091512,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7387954,921477594,7387195,27,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
-0.0539,0.1106,-0.0006,-0.0074,0.0100,-3.0707,0.0052,-0.0042,3.1416,0.0000,0.1030,0.0616,-9.6297,-0.0025,0.0058,-0.0114,0.0404,0.0860,-9.8004,0.0029,0.0013,-0.0159,-0.0713,0.0992,-10.0793,-0.0031,0.0036,0.0029,-0.1438,0.2013,-9.7366,0.0210,0.0184,-0.0173,0.0000,0.0218,-0.0256,-0.0067,65.6548,0.0000,126.8597,104.5787,-0.879736,0.732187,-0.088835,0.005247,0.006432,0.010612,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880276,0.731570,-0.091512,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7398454,921477594,7396195,27,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
-0.0536,0.1099,-0.0005,-0.0074,0.0101,-3.0706,0.0052,-0.0042,3.1416,0.0000,0.1353,0.1450,-9.6889,-0.0040,0.0048,0.0232,0.0873,0.1752,-9.8132,0.0024,-0.0029,0.0172,-0.1622,0.2045,-9.8494,-0.0041,0.0073,0.0365,-0.2785,0.0020,-10.1407,0.0021,0.0075,0.0194,0.0000,0.0223,-0.0253,-0.0099,95.6438,0.0000,146.0498,73.6473,-0.879675,0.732263,-0.088704,0.004996,0.006065,0.011072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880276,0.731570,-0.091512,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7408954,921477594,7408195,27,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
-0.0533,0.1092,-0.0001,-0.0075,0.0101,-3.0702,0.0052,-0.0042,3.1416,0.0000,0.0732,0.0393,-9.7042,-0.0054,0.0048,0.0425,0.0482,0.0200,-9.8639,0.0030,-0.0025,0.0405,-0.3418,0.0417,-9.8279,-0.0049,0.0113,0.0234,-0.5227,-0.1129,-9.9126,0.0064,0.0059,0.0194,0.0000,0.0228,-0.0254,-0.0123,111.7010,0.0000,158.3204,42.0845,-0.879630,0.732316,-0.088604,0.005018,0.005683,0.011238,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880276,0.731570,-0.091512,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7419454,921477594,7417195,27,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
-0.0529,0.1086,0.0001,-0.0075,0.0102,-3.0700,0.0052,-0.0042,3.1416,0.0000,0.0262,-0.0910,-9.6897,-0.0034,0.0064,-0.0117,0.0245,-0.1549,-9.8295,0.0016,-0.0020,-0.0138,-0.1718,-0.0613,-9.8877,0.0039,0.0057,-0.0440,-0.1259,-0.3984,-9.9665,0.0061,0.0037,-0.0474,0.0000,0.0223,-0.0263,-0.0077,74.5943,0.0000,134.2088,98.5449,-0.879565,0.732391,-0.088468,0.005842,0.007139,0.011440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880276,0.731570,-0.091512,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7429954,921477594,7429195,27,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
-0.0526,0.1079,-0.0003,-0.0075,0.0102,-3.0705,0.0052,-0.0042,3.1416,0.0000,0.0586,0.0427,-9.6956,-0.0011,0.0043,-0.0630,0.0175,0.0144,-9.8300,0.0045,-0.0006,-0.0676,0.2017,-0.0421,-10.0577,0.0063,0.0135,-0.0434,0.2261,-0.2296,-9.8875,0.0157,0.0048,-0.0410,0.0000,0.0216,-0.0256,-0.0017,0.0000,0.0000,88.6045,138.4669,-0.879510,0.732463,-0.088365,0.006389,0.008661,0.011551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880276,0.731570,-0.091512,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7440454,921477594,7438195,27,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
-0.0523,0.1072,-0.0006,-0.0075,0.0103,-3.0708,0.0052,-0.0042,3.1416,0.0000,0.1718,0.2153,-9.6736,-0.0044,0.0067,0.0092,0.0864,0.2772,-9.7801,0.0023,-0.0007,-0.0036,0.0915,0.1949,-9.9332,0.0012,0.0111,0.0464,0.5350,0.0900,-9.7169,0.0045,-0.0075,0.0533,0.0000,0.0223,-0.0259,-0.0063,61.8831,0.0000,124.6170,108.9098,-0.879434,0.732564,-0.088225,0.006001,0.007888,0.011757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.880276,0.731570,-0.091512,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,7450954,921477594,7450195,27,1000,1505,1504,1504,1000,1000,2008,1505,1505,1095,2008,1625,1285,1000,1000
