euler_madgwick0,euler_madgwick1,euler_madgwick2,euler_ekf0,euler_ekf1,euler_ekf2,euler_setpoint0,euler_setpoint1,euler_setpoint2,thrust_setpoint,Acc1,Acc2,Acc3,Gyro1,Gyro2,Gyro3,AccBMI1,AccBMI2,AccBMI3,GyroBMI1,GyroBMI2,GyroBMI3,Acc1Raw,Acc2Raw,Acc3Raw,Gyro1Raw,Gyro2Raw,Gyro3Raw,AccBMI1Raw,AccBMI2Raw,AccBMI3Raw,GyroBMI1Raw,GyroBMI2Raw,GyroBMI3Raw,u0,u1,u2,u3,w0,w1,w2,w3,positionNED_0,positionNED_1,positionNED_2,velocityNED_0,velocityNED_1,velocityNED_2,positionSetpointNED_0,positionSetpointNED_1,positionSetpointNED_2,velocitySetpointNED_0,velocitySetpointNED_1,velocitySetpointNED_2,mocapPositionNED_0,mocapPositionNED_1,mocapPositionNED_2,pScale_att,iScale_att,dScale_att,Kp_array,Ki_array,Kd_array,Kp_pos,Ki_pos,Kd_pos,Kp2_array,Ki2_array,Kd2_array,timeSinceBoot,mocapTime,quadTime,numMocapUpdates,throttle,roll,pitch,yaw,throttle_cut,boundary_sw,xSel,ySel,zSel,Kp_scale,Ki_scale,Kd_scale,scale_all,reset,position_toggle
-0.0071,-0.0065,-0.7351,-0.0049,-0.0154,-2.9984,0.0063,-0.0042,3.1416,0.0000,-0.0563,0.0626,-9.8023,-0.0017,0.0042,-0.0029,-0.0893,0.0515,-9.8181,0.0013,-0.0011,-0.0021,-0.0689,0.0608,-9.7225,-0.0023,0.0028,-0.0029,-0.0810,0.0271,-9.8300,0.0067,-0.0213,-0.0093,0.0000,0.0191,0.0173,-0.0155,0.0000,0.0000,0.0000,0.0000,-1.376940,0.538022,-0.076513,0.004295,-0.000807,-0.003744,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377092,0.537432,-0.075267,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91195712,1062978167,91193453,728,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
-0.0047,-0.0050,-0.7353,-0.0049,-0.0154,-2.9983,0.0063,-0.0031,3.1416,0.0000,-0.1307,0.0486,-9.8002,-0.0008,0.0037,-0.0033,-0.2207,0.0481,-9.8125,0.0040,-0.0036,-0.0017,0.7140,0.6474,-10.1679,-0.0017,0.0108,0.0061,0.4703,-0.2673,-9.6828,0.0043,0.0306,0.0104,0.0000,0.0194,0.0189,-0.0154,197.1679,0.0000,91.6759,0.0000,-1.376710,0.537988,-0.076764,0.004478,-0.000387,-0.005581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377092,0.537432,-0.075267,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91247701,1062978167,91247442,728,1000,1506,1503,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
-0.0055,-0.0051,-0.7352,-0.0050,-0.0153,-2.9982,0.0063,-0.0042,3.1416,0.0000,-0.0058,0.1727,-9.7434,-0.0012,0.0031,0.0247,-0.0558,0.1744,-9.8079,0.0033,0.0022,0.0227,0.2400,0.2356,-10.5342,-0.0023,0.0100,0.0195,0.2351,-0.7701,-9.6792,-0.0003,-0.0024,0.0549,0.0000,0.0187,0.0172,-0.0168,199.1645,0.0000,109.2411,0.0000,-1.376669,0.537982,-0.076814,0.004640,-0.001082,-0.005511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377092,0.537432,-0.075267,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91258137,1062978167,91256378,728,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
-0.0051,-0.0054,-0.7352,-0.0050,-0.0153,-2.9983,0.0063,-0.0042,3.1416,0.0000,-0.1431,-0.0331,-9.8764,0.0001,0.0056,-0.0554,-0.1395,-0.1226,-9.9755,-0.0001,-0.0020,-0.0480,-0.0761,-0.6095,-8.5326,-0.0084,0.0063,-0.0791,0.3518,0.0200,-8.3360,-0.0088,0.0224,-0.0871,0.0000,0.0186,0.0166,-0.0102,173.8421,0.0000,33.2709,0.0000,-1.376612,0.537974,-0.076882,0.005090,0.000184,-0.005885,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377092,0.537432,-0.075267,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91268637,1062978167,91268378,728,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
-0.0054,-0.0050,-0.7359,-0.0049,-0.0153,-2.9989,0.0063,-0.0042,3.1416,0.0000,-0.0008,0.2052,-9.7968,-0.0005,0.0055,-0.0378,0.0021,0.2619,-9.8329,0.0042,-0.0008,-0.0405,-0.0090,0.2787,-9.7297,-0.0126,0.0049,0.0197,0.3374,0.3558,-9.2877,-0.0120,0.0032,0.0019,0.0000,0.0188,0.0167,-0.0114,178.8158,0.0000,55.0562,0.0000,-1.376568,0.537975,-0.076935,0.004631,-0.000141,-0.005899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377092,0.537432,-0.075267,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91279137,1062978167,91277378,728,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
-0.0062,-0.0048,-0.7357,-0.0049,-0.0153,-2.9985,0.0063,-0.0042,3.1416,0.0000,-0.0665,0.1676,-9.8405,-0.0006,0.0019,0.0589,-0.0382,0.1446,-9.8353,0.0028,-0.0057,0.0586,-0.0425,-0.3055,-9.1982,-0.0134,-0.0007,0.0608,-0.2174,-0.2673,-9.2572,-0.0061,-0.0051,0.0634,0.0000,0.0187,0.0177,-0.0212,214.2124,0.0000,137.5918,0.0000,-1.376516,0.537959,-0.077007,0.004291,-0.002319,-0.006326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377092,0.537432,-0.075267,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91289637,1062978167,91289378,728,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
-0.0061,-0.0053,-0.7352,-0.0050,-0.0153,-2.9981,0.0063,-0.0042,3.1416,0.0000,-0.1775,-0.0329,-9.8495,-0.0019,0.0056,0.0145,-0.1237,-0.1719,-9.8249,0.0009,0.0029,0.0211,-0.1527,-0.5497,-8.8367,-0.0025,-0.0028,-0.0285,0.7558,0.1816,-9.3057,0.0059,0.0088,-0.0280,0.0000,0.0195,0.0172,-0.0186,205.9147,0.0000,120.5682,0.0000,-1.376476,0.537940,-0.077065,0.004716,-0.001795,-0.006535,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377092,0.537432,-0.075267,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91300137,1062978167,91298379,728,1000,1506,1504,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
-0.0055,-0.0058,-0.7355,-0.0045,-0.0156,-2.9983,0.0063,-0.0031,3.1416,0.0000,-0.1254,-0.0036,-9.8677,0.0013,0.0048,-0.0529,-0.1818,-0.0687,-9.8745,0.0043,-0.0018,-0.0502,0.7619,0.2476,-9.1431,-0.0113,0.0020,-0.0434,0.1884,-0.1003,-8.4779,-0.0016,0.0123,-0.0629,0.0000,0.0177,0.0202,-0.0108,180.3710,0.0000,23.8246,0.0000,-1.376887,0.537045,-0.075432,0.003665,-0.003719,-0.002635,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377101,0.536664,-0.073802,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91310183,1063110838,91307424,729,1000,1506,1503,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
-0.0059,-0.0056,-0.7359,-0.0045,-0.0156,-2.9987,0.0063,-0.0031,3.1416,0.0000,-0.0319,0.2499,-9.7925,0.0006,0.0046,-0.0126,-0.0886,0.2399,-9.8562,0.0082,0.0038,-0.0183,0.0652,-0.2312,-9.4496,-0.0134,0.0009,0.0269,0.2063,-0.4272,-9.0471,-0.0136,0.0152,0.0165,0.0000,0.0179,0.0192,-0.0134,188.8098,0.0000,73.1001,0.0000,-1.376843,0.536999,-0.075467,0.003613,-0.004525,-0.002959,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377101,0.536664,-0.073802,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91320213,1063110838,91319454,729,1000,1506,1503,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
-0.0067,-0.0054,-0.7356,-0.0045,-0.0156,-2.9985,0.0063,-0.0031,3.1416,0.0000,-0.0842,0.0733,-9.8056,-0.0011,0.0042,0.0371,-0.1119,0.0611,-9.8518,0.0007,0.0005,0.0405,0.2089,-0.1546,-9.1838,-0.0076,-0.0025,0.0256,0.1094,0.2768,-9.2787,0.0011,-0.0125,0.0344,0.0000,0.0184,0.0197,-0.0193,210.3818,0.0000,121.6327,0.0000,-1.376812,0.536952,-0.075492,0.003329,-0.005589,-0.002590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.377101,0.536664,-0.073802,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,91330713,1063110838,91328454,729,1000,1506,1503,1505,1000,1000,2008,1505,1505,1074,2008,1625,1255,1000,1000
