euler_madgwick0,euler_madgwick1,euler_madgwick2,euler_ekf0,euler_ekf1,euler_ekf2,euler_setpoint0,euler_setpoint1,euler_setpoint2,thrust_setpoint,Acc1,Acc2,Acc3,Gyro1,Gyro2,Gyro3,AccBMI1,AccBMI2,AccBMI3,GyroBMI1,GyroBMI2,GyroBMI3,Acc1Raw,Acc2Raw,Acc3Raw,Gyro1Raw,Gyro2Raw,Gyro3Raw,AccBMI1Raw,AccBMI2Raw,AccBMI3Raw,GyroBMI1Raw,GyroBMI2Raw,GyroBMI3Raw,u0,u1,u2,u3,w0,w1,w2,w3,positionNED_0,positionNED_1,positionNED_2,velocityNED_0,velocityNED_1,velocityNED_2,positionSetpointNED_0,positionSetpointNED_1,positionSetpointNED_2,velocitySetpointNED_0,velocitySetpointNED_1,velocitySetpointNED_2,mocapPositionNED_0,mocapPositionNED_1,mocapPositionNED_2,pScale_att,iScale_att,dScale_att,Kp_array,Ki_array,Kd_array,Kp_pos,Ki_pos,Kd_pos,Kp2_array,Ki2_array,Kd2_array,timeSinceBoot,mocapTime,quadTime,numMocapUpdates,throttle,roll,pitch,yaw,throttle_cut,boundary_sw,xSel,ySel,zSel,Kp_scale,Ki_scale,Kd_scale,scale_all,reset,position_toggle
0.0059,0.0032,0.1142,0.0050,0.0078,-2.8723,0.0063,-0.0042,3.1416,0.0000,0.0417,-0.0512,-9.8077,0.0002,0.0043,0.0058,0.0516,-0.0600,-9.8162,0.0015,-0.0006,-0.0027,0.0403,-0.0689,-9.8476,-0.0020,0.0073,0.0033,0.0434,-0.0872,-9.8444,-0.0080,0.0075,-0.0136,0.0000,0.0020,-0.0216,-0.0436,0.0000,0.0000,0.0000,0.0000,-0.013792,0.097071,-0.099984,0.007650,0.005279,0.017194,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014856,0.096510,-0.103478,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,24737550,82891458,24735291,124,1000,1506,1504,1505,1000,1000,1505,1505,1505,1075,2008,1625,1256,1000,1000
-0.0028,0.0201,0.1155,0.0051,0.0077,-2.8711,0.0063,-0.0042,3.1416,0.0000,0.0297,-0.0353,-9.8253,-0.0010,0.0045,0.0082,0.0236,-0.0225,-9.8288,0.0017,0.0006,-0.0032,0.3012,0.2304,-9.3496,-0.0041,0.0028,0.0326,-0.4971,0.4821,-9.2877,-0.0170,-0.0077,0.0205,0.0000,0.0022,-0.0210,-0.0439,224.0629,0.0000,290.1566,0.0000,-0.013955,0.097076,-0.100541,0.007343,0.004848,0.014117,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014717,0.096644,-0.103500,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,24981947,83025506,24981188,125,1000,1506,1504,1505,1000,1000,1505,1505,1505,1075,2008,1625,1256,1000,1000
-0.0028,0.0193,0.1158,0.0050,0.0078,-2.8709,0.0063,-0.0042,3.1416,0.0000,0.0963,0.0100,-9.8211,-0.0005,0.0059,0.0479,0.1425,-0.0243,-9.8276,0.0032,-0.0005,0.0362,-0.1704,-0.0258,-9.5004,-0.0017,-0.0113,0.0228,-0.4163,0.0224,-9.5571,-0.0053,-0.0157,0.0176,0.0000,0.0023,-0.0218,-0.0465,231.1457,0.0000,298.1942,0.0000,-0.013884,0.097119,-0.100410,0.007963,0.004372,0.014438,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014717,0.096644,-0.103500,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,24992136,83025506,24990377,125,1000,1506,1504,1505,1000,1000,1505,1505,1505,1075,2008,1625,1256,1000,1000
-0.0022,0.0188,0.1159,0.0050,0.0078,-2.8708,0.0063,-0.0042,3.1416,0.0000,-0.0361,-0.2663,-9.8304,-0.0014,0.0062,-0.0494,-0.0054,-0.2957,-9.8405,0.0038,-0.0001,-0.0493,0.1576,0.3334,-9.7758,0.0076,0.0033,-0.0881,0.2553,0.2073,-10.1892,-0.0016,-0.0029,-0.0794,0.0000,0.0026,-0.0221,-0.0384,205.5035,0.0000,274.5377,0.0000,-0.013788,0.097180,-0.100236,0.008259,0.006278,0.014593,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014717,0.096644,-0.103500,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,25002636,83025506,25002377,125,1000,1506,1504,1505,1000,1000,1505,1505,1505,1075,2008,1625,1256,1000,1000
-0.0016,0.0182,0.1151,0.0050,0.0079,-2.8716,0.0063,-0.0042,3.1416,0.0000,0.0968,0.0051,-9.7885,0.0001,0.0012,-0.0688,0.0395,0.0765,-9.8154,0.0025,0.0036,-0.0817,-0.3356,-0.0186,-10.1301,0.0121,0.0097,-0.0185,-0.5689,-0.4894,-10.1263,0.0218,-0.0032,-0.0384,0.0000,0.0022,-0.0206,-0.0359,198.6632,0.0000,265.6993,0.0000,-0.013712,0.097241,-0.100104,0.008509,0.007116,0.014778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014717,0.096644,-0.103500,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,25013136,83025506,25011377,125,1000,1506,1504,1505,1000,1000,1505,1505,1505,1075,2008,1625,1256,1000,1000
-0.0020,0.0176,0.1151,0.0050,0.0080,-2.8715,0.0063,-0.0042,3.1416,0.0000,0.0762,0.0902,-9.7229,-0.0011,0.0061,0.0547,0.0695,0.1358,-9.6992,0.0043,0.0022,0.0428,0.8567,0.7930,-9.9649,-0.0012,0.0020,0.0841,-0.8976,-0.6241,-10.2987,0.0067,-0.0035,0.0629,0.0000,0.0022,-0.0223,-0.0477,234.0794,0.0000,302.1274,0.0000,-0.013605,0.097318,-0.099924,0.009230,0.005506,0.015511,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014717,0.096644,-0.103500,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,25023636,83025506,25023377,125,1000,1506,1504,1505,1000,1000,1505,1505,1505,1075,2008,1625,1256,1000,1000
-0.0019,0.0170,0.1158,0.0050,0.0080,-2.8709,0.0063,-0.0042,3.1416,0.0000,0.0633,-0.0497,-9.8568,0.0002,0.0014,0.0527,0.1430,-0.0640,-9.9199,0.0041,-0.0041,0.0449,-0.2015,-0.5142,-9.9338,-0.0025,0.0049,0.0100,-0.0374,-0.6043,-9.3326,0.0099,-0.0104,-0.0059,0.0000,0.0029,-0.0211,-0.0496,241.6594,0.0000,306.1092,0.0000,-0.013522,0.097365,-0.099781,0.009286,0.005201,0.016093,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014717,0.096644,-0.103500,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,25034136,83025506,25032378,125,1000,1506,1504,1505,1000,1000,1505,1505,1505,1075,2008,1625,1256,1000,1000
-0.0014,0.0164,0.1159,0.0050,0.0081,-2.8708,0.0063,-0.0042,3.1416,0.0000,0.0569,-0.0833,-9.8099,0.0018,0.0062,-0.0163,0.0727,-0.0862,-9.8052,0.0055,-0.0020,-0.0220,-0.5990,-0.0880,-9.7686,-0.0033,-0.0020,-0.0105,-0.6192,0.2558,-10.0527,-0.0115,0.0011,-0.0075,0.0000,0.0015,-0.0217,-0.0423,217.5986,0.0000,286.5926,0.0000,-0.013408,0.097432,-0.099591,0.009717,0.005967,0.015762,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014717,0.096644,-0.103500,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,25044636,83025506,25044378,125,1000,1506,1504,1505,1000,1000,1505,1505,1505,1075,2008,1625,1256,1000,1000
-0.0011,0.0157,0.1158,0.0049,0.0081,-2.8709,0.0063,-0.0042,3.1416,0.0000,0.0602,-0.0093,-9.7123,-0.0012,0.0056,0.0045,0.0715,-0.0079,-9.7501,0.0033,0.0012,-0.0047,-0.0866,0.0125,-10.4509,0.0039,0.0039,0.0228,-0.1811,-0.1734,-10.2897,0.0029,-0.0091,-0.0035,0.0000,0.0025,-0.0223,-0.0429,219.6489,0.0000,288.2881,0.0000,-0.013319,0.097486,-0.099447,0.009971,0.005889,0.016407,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014717,0.096644,-0.103500,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,25055136,83025506,25044378,125,1000,1506,1504,1505,1000,1000,1505,1505,1505,1074,2008,1625,1256,1000,1000
-0.0006,0.0151,0.1160,0.0049,0.0082,-2.8707,0.0063,-0.0042,3.1416,0.0000,0.0535,-0.1356,-9.8324,-0.0008,0.0055,0.0241,0.0574,-0.1818,-9.8598,0.0029,-0.0044,0.0150,-0.2374,-0.0138,-10.2690,0.0047,0.0079,0.0089,-0.3894,-0.1680,-9.7887,0.0000,-0.0059,0.0240,0.0000,0.0025,-0.0225,-0.0459,228.7407,0.0000,297.2414,0.0000,-0.013197,0.097558,-0.099248,0.010358,0.006474,0.016671,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014717,0.096644,-0.103500,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,25065636,83025506,25044378,125,1000,1506,1504,1505,1000,1000,1505,1505,1505,1074,2008,1625,1256,1000,1000
