euler_madgwick0,euler_madgwick1,euler_madgwick2,euler_ekf0,euler_ekf1,euler_ekf2,euler_setpoint0,euler_setpoint1,euler_setpoint2,thrust_setpoint,Acc1,Acc2,Acc3,Gyro1,Gyro2,Gyro3,AccBMI1,AccBMI2,AccBMI3,GyroBMI1,GyroBMI2,GyroBMI3,Acc1Raw,Acc2Raw,Acc3Raw,Gyro1Raw,Gyro2Raw,Gyro3Raw,AccBMI1Raw,AccBMI2Raw,AccBMI3Raw,GyroBMI1Raw,GyroBMI2Raw,GyroBMI3Raw,u0,u1,u2,u3,w0,w1,w2,w3,positionNED_0,positionNED_1,positionNED_2,velocityNED_0,velocityNED_1,velocityNED_2,positionSetpointNED_0,positionSetpointNED_1,positionSetpointNED_2,velocitySetpointNED_0,velocitySetpointNED_1,velocitySetpointNED_2,mocapPositionNED_0,mocapPositionNED_1,mocapPositionNED_2,pScale_att,iScale_att,dScale_att,Kp_array,Ki_array,Kd_array,Kp_pos,Ki_pos,Kd_pos,Kp2_array,Ki2_array,Kd2_array,timeSinceBoot,mocapTime,quadTime,numMocapUpdates,throttle,roll,pitch,yaw,throttle_cut,boundary_sw,xSel,ySel,zSel,Kp_scale,Ki_scale,Kd_scale,scale_all,reset,position_toggle
-0.0092,0.0042,3.1162,-0.0097,-0.0021,0.5477,0.0073,-0.0021,3.1575,0.0000,0.0158,0.1101,-9.6620,-0.0037,0.0058,-0.0003,0.0185,0.0571,-9.8280,0.0022,-0.0008,-0.0038,-0.0066,0.1015,-9.6172,-0.0036,0.0055,-0.0016,0.0483,0.0469,-9.7869,0.0093,-0.0008,-0.0059,0.0000,0.0293,-0.0018,0.2871,0.0000,0.0000,0.0000,0.0000,-1.195273,0.273869,-0.062093,0.003502,-0.011309,0.066287,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195839,0.276112,-0.080356,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808669307,837846115,808668048,6710,1000,1507,1502,1505,1000,1000,1505,1505,1505,1095,2008,1625,1016,1000,1000
-0.0108,0.0019,3.1162,-0.0089,-0.0023,0.5474,0.0073,-0.0021,3.1575,0.0000,0.1094,0.0081,-9.6193,-0.0056,0.0020,0.0011,-0.0428,0.1142,-9.7954,0.0025,-0.0018,-0.0001,-0.8470,0.4607,-10.0529,-0.0273,0.0295,0.0205,-0.7202,1.3668,-11.2971,-0.0205,0.0061,0.0312,0.0000,0.0284,-0.0023,0.2872,0.0000,618.9175,0.0000,704.7919,-1.195753,0.275340,-0.070774,0.001074,-0.006142,0.046450,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195941,0.275983,-0.080336,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808713971,837977829,808713212,6711,1000,1507,1502,1505,1000,1000,1505,1505,1505,1094,2008,1625,1016,1000,1000
-0.0105,0.0021,3.1162,-0.0089,-0.0023,0.5474,0.0073,-0.0021,3.1575,0.0000,0.0957,0.1397,-9.5807,0.0004,0.0037,0.0011,0.0950,0.0803,-9.8505,0.0040,-0.0081,-0.0007,-0.7704,0.6378,-11.2117,-0.0228,0.0433,0.0381,-0.5137,1.2087,-9.7456,-0.0248,0.0290,0.0226,0.0000,0.0278,0.0002,0.2860,0.0000,618.8876,0.0000,702.3342,-1.195742,0.275282,-0.070339,0.001270,-0.006591,0.048258,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195941,0.275983,-0.080336,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808724165,837977829,808722406,6711,1000,1507,1502,1505,1000,1000,1505,1505,1505,1094,2008,1625,1016,1000,1000
-0.0109,0.0022,3.1164,-0.0090,-0.0023,0.5475,0.0073,-0.0021,3.1575,0.0000,-0.0072,0.0549,-9.8023,-0.0068,0.0096,0.0267,0.0768,0.0090,-9.9042,-0.0041,0.0013,0.0231,-0.5693,0.2763,-7.8383,0.0311,-0.0643,0.0048,0.7379,-1.1850,-7.7434,0.0330,-0.0232,0.0056,0.0000,0.0294,-0.0030,0.2844,0.0000,615.2285,0.0000,702.0516,-1.195729,0.275207,-0.069753,0.000999,-0.006416,0.049280,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195941,0.275983,-0.080336,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808734665,837977829,808734406,6711,1000,1507,1502,1505,1000,1000,1505,1505,1505,1094,2008,1625,1016,1000,1000
-0.0103,0.0018,3.1165,-0.0090,-0.0023,0.5475,0.0073,-0.0021,3.1575,0.0000,-0.0951,0.0374,-9.6825,-0.0048,0.0103,-0.0182,-0.1145,0.1490,-9.8056,-0.0017,-0.0016,-0.0167,2.4474,-0.8322,-9.7680,0.0159,-0.0590,-0.0400,2.3648,-0.2979,-10.0994,0.0200,-0.0354,-0.0447,0.0000,0.0292,-0.0035,0.2887,0.0000,619.8398,0.0000,707.3254,-1.195721,0.275145,-0.069303,0.000828,-0.007232,0.050462,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195941,0.275983,-0.080336,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808745165,837977829,808743406,6711,1000,1507,1502,1505,1000,1000,1505,1505,1505,1094,2008,1625,1016,1000,1000
-0.0099,0.0019,3.1162,-0.0091,-0.0022,0.5470,0.0073,-0.0021,3.1575,0.0000,0.0454,0.1351,-9.6149,-0.0017,0.0130,-0.0371,0.0999,0.1830,-9.7367,0.0024,0.0000,-0.0401,1.1258,-0.0924,-10.6898,-0.0044,-0.0092,-0.0184,0.2063,0.3540,-11.4659,0.0072,-0.0181,-0.0333,0.0000,0.0285,-0.0054,0.2909,0.0000,621.7076,0.0000,710.4235,-1.195706,0.275049,-0.068686,0.001458,-0.008402,0.052114,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195941,0.275983,-0.080336,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808755665,837977829,808755422,6711,1000,1507,1502,1505,1000,1000,1505,1505,1505,1094,2008,1625,1016,1000,1000
-0.0106,0.0023,3.1161,-0.0091,-0.0022,0.5469,0.0073,-0.0021,3.1575,0.0000,0.1237,0.2047,-9.5978,-0.0048,0.0055,0.0403,0.0209,0.2084,-9.7873,0.0019,-0.0025,0.0318,-0.4017,0.6139,-10.7497,-0.0116,-0.0057,0.0762,-0.3234,0.6772,-10.7422,-0.0080,0.0021,0.0836,0.0000,0.0287,-0.0010,0.2846,0.0000,616.5074,0.0000,701.3650,-1.195695,0.274979,-0.068216,0.001104,-0.007129,0.052857,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195941,0.275983,-0.080336,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808766165,837977829,808764406,6711,1000,1507,1502,1505,1000,1000,1505,1505,1505,1094,2008,1625,1016,1000,1000
-0.0111,0.0028,3.1168,-0.0092,-0.0021,0.5476,0.0073,-0.0021,3.1575,0.0000,0.0525,0.0042,-9.6482,-0.0042,0.0048,0.0532,-0.0070,-0.0402,-9.8560,0.0021,0.0002,0.0553,-0.9835,0.2069,-9.9356,-0.0140,0.0036,0.0069,-0.3665,0.4653,-9.7492,-0.0104,-0.0080,0.0008,0.0000,0.0294,-0.0020,0.2805,0.0000,611.2599,0.0000,696.9349,-1.195682,0.274899,-0.067572,0.001199,-0.006663,0.054522,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195941,0.275983,-0.080336,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808776665,837977829,808776406,6711,1000,1507,1502,1505,1000,1000,1505,1505,1505,1094,2008,1625,1016,1000,1000
-0.0103,0.0027,3.1168,-0.0092,-0.0021,0.5475,0.0073,-0.0021,3.1575,0.0000,-0.0264,-0.0941,-9.7100,-0.0025,0.0056,-0.0470,0.0078,-0.1656,-9.8242,0.0030,-0.0011,-0.0442,0.4195,0.2093,-9.5621,-0.0047,-0.0055,-0.0666,0.2602,0.0002,-9.9270,0.0083,0.0032,-0.0684,0.0000,0.0284,-0.0012,0.2898,0.0000,622.3300,0.0000,707.5244,-1.195669,0.274831,-0.067076,0.001785,-0.008653,0.055517,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195941,0.275983,-0.080336,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808787165,837977829,808785406,6711,1000,1507,1502,1505,1000,1000,1505,1505,1505,1094,2008,1625,1016,1000,1000
-0.0096,0.0027,3.1161,-0.0092,-0.0021,0.5467,0.0073,-0.0021,3.1575,0.0000,0.0011,0.0904,-9.6494,-0.0025,0.0074,-0.0572,-0.0210,0.0931,-9.8136,0.0045,-0.0059,-0.0639,0.5201,0.0561,-9.8231,-0.0052,0.0084,-0.0354,0.2028,0.1977,-10.0958,-0.0003,-0.0003,-0.0181,0.0000,0.0282,-0.0020,0.2937,0.0000,626.3572,0.0000,712.4191,-1.195645,0.274719,-0.066402,0.002052,-0.009724,0.056881,-1.204548,0.287091,-0.200000,0.000000,0.000000,0.000000,-1.195941,0.275983,-0.080336,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,808797665,837977829,808797406,6711,1000,1507,1502,1505,1000,1000,1505,1505,1505,1094,2008,1625,1016,1000,1000
