euler_madgwick0,euler_madgwick1,euler_madgwick2,euler_ekf0,euler_ekf1,euler_ekf2,euler_setpoint0,euler_setpoint1,euler_setpoint2,thrust_setpoint,Acc1,Acc2,Acc3,Gyro1,Gyro2,Gyro3,AccBMI1,AccBMI2,AccBMI3,GyroBMI1,GyroBMI2,GyroBMI3,Acc1Raw,Acc2Raw,Acc3Raw,Gyro1Raw,Gyro2Raw,Gyro3Raw,AccBMI1Raw,AccBMI2Raw,AccBMI3Raw,GyroBMI1Raw,GyroBMI2Raw,GyroBMI3Raw,u0,u1,u2,u3,w0,w1,w2,w3,positionNED_0,positionNED_1,positionNED_2,velocityNED_0,velocityNED_1,velocityNED_2,positionSetpointNED_0,positionSetpointNED_1,positionSetpointNED_2,velocitySetpointNED_0,velocitySetpointNED_1,velocitySetpointNED_2,mocapPositionNED_0,mocapPositionNED_1,mocapPositionNED_2,pScale_att,iScale_att,dScale_att,Kp_array,Ki_array,Kd_array,Kp_pos,Ki_pos,Kd_pos,Kp2_array,Ki2_array,Kd2_array,timeSinceBoot,mocapTime,quadTime,numMocapUpdates,throttle,roll,pitch,yaw,throttle_cut,boundary_sw,xSel,ySel,zSel,Kp_scale,Ki_scale,Kd_scale,scale_all,reset,position_toggle
0.0567,-0.0308,-0.0450,0.0479,-0.0346,-2.9937,-0.0115,-0.0042,3.1416,0.0000,-0.2800,-0.5166,-9.6925,0.0243,-0.0154,0.0061,-0.3739,-0.0551,-9.8656,0.0019,0.0010,-0.0001,-0.2627,-0.5096,-9.6999,0.0267,-0.0159,0.0067,-0.3753,-0.0934,-9.8621,0.0130,0.0051,-0.0093,0.0000,-0.1072,0.0555,-0.0169,0.0000,0.0000,0.0000,0.0000,0.138784,0.044487,-0.109868,-0.005844,-0.008779,-0.009953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045588,-0.107982,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23506341,1029647941,23504082,166,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
0.0467,-0.0239,-0.0433,0.0477,-0.0346,-2.9932,-0.0115,-0.0042,3.1416,0.0000,-0.3099,-0.4467,-9.6551,0.0266,-0.0147,0.0076,-0.3545,-0.0690,-9.8960,0.0028,0.0020,-0.0027,-0.3656,-0.6724,-9.5658,0.0259,-0.0116,0.0197,-0.5028,-0.0287,-9.9285,0.0045,0.0096,0.0218,0.0000,-0.1068,0.0554,-0.0168,100.5361,219.9330,203.6199,0.0000,0.138902,0.044575,-0.109828,-0.005889,-0.010976,-0.012727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045565,-0.108032,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23772112,1029781562,23771353,167,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
0.0474,-0.0242,-0.0431,0.0477,-0.0346,-2.9930,-0.0115,-0.0042,3.1416,0.0000,-0.3147,-0.6459,-9.6628,0.0255,-0.0165,0.0170,-0.3492,-0.0734,-9.8672,0.0028,-0.0002,0.0094,0.4292,1.0323,-10.0398,0.0176,0.0041,0.0274,-0.2388,-0.3143,-9.2838,0.0032,0.0027,0.0186,0.0000,-0.1072,0.0557,-0.0178,106.7059,217.6838,207.4563,0.0000,0.138848,0.044472,-0.109943,-0.006423,-0.011776,-0.012954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045565,-0.108032,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23782548,1029781562,23780289,167,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
0.0484,-0.0248,-0.0432,0.0478,-0.0347,-2.9930,-0.0115,-0.0042,3.1416,0.0000,-0.3665,-0.6436,-9.6229,0.0250,-0.0134,-0.0284,-0.4448,-0.2029,-9.8648,0.0023,-0.0033,-0.0309,-0.3106,-1.0411,-9.8028,0.0288,-0.0153,-0.0376,-0.0557,1.2372,-10.0309,0.0149,0.0040,-0.0594,0.0000,-0.1064,0.0560,-0.0159,96.3727,223.1607,198.6806,0.0000,0.138772,0.044336,-0.110097,-0.006086,-0.010719,-0.012711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045565,-0.108032,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23793048,1029781562,23792289,167,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
0.0488,-0.0254,-0.0434,0.0478,-0.0347,-2.9932,-0.0115,-0.0042,3.1416,0.0000,-0.2550,-0.4152,-9.6368,0.0248,-0.0132,0.0085,-0.3511,0.1066,-9.9028,0.0030,0.0050,-0.0080,-0.1286,-1.0171,-9.4940,0.0221,-0.0209,0.0253,-0.2406,-0.0575,-9.4437,0.0045,0.0048,0.0133,0.0000,-0.1070,0.0551,-0.0172,101.8130,218.7373,205.5025,0.0000,0.138716,0.044238,-0.110211,-0.006324,-0.011313,-0.012710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045565,-0.108032,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23803548,1029781562,23801289,167,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
0.0487,-0.0259,-0.0430,0.0479,-0.0348,-2.9928,-0.0115,-0.0042,3.1416,0.0000,-0.3442,-0.5234,-9.6597,0.0242,-0.0137,0.0402,-0.4159,-0.0982,-9.8442,0.0034,-0.0002,0.0336,-0.3800,-0.9190,-9.7525,0.0267,-0.0119,0.0149,-0.6285,-0.9930,-9.6268,-0.0096,0.0075,0.0168,0.0000,-0.1068,0.0555,-0.0204,122.9084,208.4932,217.9617,0.0000,0.138639,0.044089,-0.110364,-0.006312,-0.013117,-0.012791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045565,-0.108032,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23814048,1029781562,23813289,167,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
0.0497,-0.0265,-0.0429,0.0479,-0.0348,-2.9927,-0.0115,-0.0042,3.1416,0.0000,-0.3449,-0.6308,-9.6520,0.0265,-0.0142,-0.0116,-0.4065,-0.1438,-9.8445,0.0045,-0.0043,-0.0145,-0.2220,-0.1983,-9.6304,0.0237,-0.0135,-0.0187,-0.3591,-0.0682,-9.7974,0.0125,0.0115,-0.0322,0.0000,-0.1077,0.0554,-0.0157,90.5734,224.2733,199.7231,0.0000,0.138583,0.043974,-0.110480,-0.006099,-0.012436,-0.012864,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045565,-0.108032,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23824548,1029781562,23822289,167,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
0.0506,-0.0271,-0.0431,0.0480,-0.0349,-2.9928,-0.0115,-0.0042,3.1416,0.0000,-0.2854,-0.4998,-9.6990,0.0259,-0.0130,-0.0082,-0.3553,0.0308,-9.8641,0.0026,0.0021,-0.0182,-0.3513,-0.0595,-9.6520,0.0253,-0.0145,0.0171,-0.3681,0.0126,-9.6645,0.0109,-0.0037,-0.0005,0.0000,-0.1076,0.0551,-0.0150,84.1644,226.1186,196.8842,0.0000,0.138510,0.043825,-0.110637,-0.006200,-0.012632,-0.013377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045565,-0.108032,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23835048,1029781562,23825291,167,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
0.0505,-0.0272,-0.0430,0.0481,-0.0349,-2.9927,-0.0115,-0.0042,3.1416,0.0000,-0.2717,-0.5351,-9.6242,0.0255,-0.0157,0.0274,-0.3555,-0.0555,-9.8634,0.0014,-0.0005,0.0193,-0.2028,-0.2223,-9.5993,0.0232,-0.0177,0.0232,-0.4328,-0.1939,-9.9285,-0.0013,-0.0035,0.0309,0.0000,-0.1079,0.0564,-0.0190,114.7488,215.4580,212.0760,0.0000,0.138452,0.043706,-0.110758,-0.006557,-0.013668,-0.013419,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045565,-0.108032,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23845548,1029781562,23825291,167,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
0.0515,-0.0276,-0.0428,0.0481,-0.0350,-2.9924,-0.0115,-0.0042,3.1416,0.0000,-0.2968,-0.5736,-9.7071,0.0255,-0.0147,0.0041,-0.3761,-0.1788,-9.8891,0.0045,0.0002,-0.0029,-0.3106,-0.5000,-9.7190,0.0259,-0.0105,-0.0123,-0.2640,-0.4489,-9.8890,-0.0011,0.0035,-0.0242,0.0000,-0.1075,0.0566,-0.0175,106.7183,219.8598,205.7108,0.0000,0.138371,0.043540,-0.110919,-0.006925,-0.013973,-0.013669,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139540,0.045565,-0.108032,1.0000,1.0000,1.0000,1.660,4.810,0.340,5.000,3.000,8.000,1.500,0.060,0.110,23856048,1029781562,23825291,167,1000,1489,1504,1502,1000,1000,1505,1505,1505,1096,2008,1625,1011,1000,1000
